Left,Right,MSE
disp_outleft_20200511-forest-0030.png,disp_outcenter_20200511-forest-0030.png,18509.549511111112
disp_outleft_20200511-forest-0031.png,disp_outcenter_20200511-forest-0031.png,23812.61522469136
disp_outleft_20200511-forest-0032.png,disp_outcenter_20200511-forest-0032.png,18484.622041975308
disp_outleft_20200511-forest-0033.png,disp_outcenter_20200511-forest-0033.png,23725.78060493827
